StoreID	Address	City	ZipCode	County
2560	3600 Business Hwy 151 East	Marion	52302	LINN
2561	4605 Fleur Drive	Des Moines	50321	POLK
2562	115 South 29th St	Fort Dodge	50501	WEBSTER
2565	819 N Grand Ave	Spencer	51301	CLAY
2566	813 N Lincoln Ste 1	Knoxville	50138	MARION
2567	2200 West Kimberly	Davenport	52806	SCOTT
2568	1556 First Avenue NE	Cedar Rapids	52402	LINN
2569	279 Collins Road NE	Cedar Rapids	52402	LINN
2571	2181 Logan Ave	Waterloo	50703	BLACK HAWK
2572	6301 University	Cedar Falls	50613	BLACK HAWK
2573	2400 2nd Ave	Muscatine	52761	MUSCATINE
2575	2834 Ansborough Ave	Waterloo	50702	BLACK HAWK
2576	1250 N Lake St	Storm Lake	50588	BUENA VIST
2578	901 Kelly St	Charles City	50616	FLOYD
2579	320 West Street South	Grinnell	50112	POWESHIEK
2582	551 S Illinois Ave	Mason City	50401	CERRO GORD
2584	2606 Avenue L	Fort Madison	52627	LEE
2585	1502 Highway 169 N Suite 1	Algona	50511	KOSSUTH
2587	5750 Merle Hay Road	Johnston	50131	POLK
2588	4035 Mt Vernon Rd SE	Cedar Rapids	52403	LINN
2590	3235 Oakland Road NE	Cedar Rapids	52402	LINN
2591	1602 E 7th St	Atlantic	50022	CASS
2593	905 US Highway 30 West	Carroll	51401	CARROLL
2594	4500 Sergeant Road	Sioux City	51106	WOODBURY
2595	"1620  4th Ave, South"	Denison	51442	CRAWFORD
2596	2453 North Court	Ottumwa	52501	Wapello
2597	1300 N. Second	Cherokee	51012	CHEROKEE
2600	110  S  D  St	Oskaloosa	52577	MAHASKA
2601	1300 West Burlington Ave	Fairfield	52556	JEFFERSON
2602	823  2nd St	Webster City	50595	HAMILTON
2603	2890 Devils Glen Road	Bettendorf	52722	SCOTT
2604	1201 12th Ave SW	Le Mars	51031	PLYMOUTH
2605	2001 Blairs Ferry Road NE	Cedar Rapids	52402	LINN
2606	1011  13th St North	Humboldt	50548	HUMBOLDT
2607	520 So Fremont	Shenandoah	51601	PAGE
2611	1140 North Jefferson St	Ottumwa	52501	Wapello
2612	1215  141 St	Perry	50220	Dallas
2613	2323 W Broadway	Council Bluffs	51501	POTTAWATTA
2614	1823 E Kimberly Rd	Davenport	52807	SCOTT
2616	901 South 4th St	Clinton	52732	CLINTON
2618	505 Boyson Rd NE	Cedar Rapids	52402	LINN
2619	1725  74th St	West Des Moines	50266	POLK
2620	7101 University Ave	Windsor Heights	50311	POLK
2621	3301 Gordon Dr	Sioux City	51105	WOODBURY
2622	1125 N Dodge St	Iowa City	52240	JOHNSON
2623	2827 Hamilton Blvd	Sioux City	51104	WOODBURY
2624	2395 NW Arterial Rd	Dubuque	52002	DUBUQUE
2625	3301 W Kimberly Rd	Davenport	52804	SCOTT
2626	4100 University Ave	Des Moines	50311	POLK
2627	3330 Martin Luther King Jr Pkwy	Des Moines	50310	POLK
2628	1616 Edgington	Eldora	50627	HARDIN
2629	1745 Madison Ave	Council Bluffs	51503	POTTAWATTA
2630	1010  60th St	West Des Moines	50266	POLK
2633	3221 SE 14th St	Des Moines	50320	POLK
2635	4064 E 53rd St	Davenport	52807	SCOTT
2636	2310 Hubbell Ave	Des Moines	50317	POLK
2637	2351 W Locust	Davenport	52804	SCOTT
